tax_id	superkingdom	phylum	class	order	family	genus	species
1	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cryptosphaeria	Cryptosphaeria_sp
2	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Gonatophragmium	Gonatophragmium_sp
3	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	Diatrype_sp
4	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Chapsa	Chapsa_sp
5	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_sp
6	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS03	unidentified	unidentified	GS03_sp
7	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Saturnispora	Saturnispora_kantuleensis
8	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	Helotiales_sp
9	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	unidentified	unidentified	Eurotiales_sp
10	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unidentified	unidentified	Agaricales_sp
11	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Malotium	Malotium_paludosum
12	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Skeletocutis	Skeletocutis_stellae
13	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma_rugulosum
14	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	unidentified	Ceratobasidiaceae_sp
15	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_ascalaphidarum
16	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Peltigeraceae	Peltigera	Peltigera_papuana
